originator_tax_id,reference_number,amount,due_on,status
12345678000195,RECV-2027-020001,37581.82,2027-06-21,advanced
98765432000198,RECV-2027-020002,11158.98,2027-12-20,eligible
11223344000177,RECV-2027-020003,39897.36,2027-07-16,eligible
55667788000133,RECV-2027-020004,4133.60,2027-09-24,pending
99887766000111,RECV-2027-020005,11391.21,2027-07-02,advanced
12345678000195,RECV-2027-020006,36216.93,2027-07-21,cancelled
98765432000198,RECV-2027-020007,1505.31,2027-07-16,pending
11223344000177,RECV-2027-020008,45699.93,2026-05-30,eligible
55667788000133,RECV-2027-020009,12956.38,2027-11-02,pending
99887766000111,RECV-2027-020010,23784.25,2027-10-27,pending
12345678000195,RECV-2027-020011,31576.16,2026-12-01,cancelled
98765432000198,RECV-2027-020012,1152.23,2028-03-23,pending
11223344000177,RECV-2027-020013,43255.69,2027-07-06,eligible
55667788000133,RECV-2027-020014,12451.64,2027-11-29,eligible
99887766000111,RECV-2027-020015,40472.97,2027-03-19,eligible
12345678000195,RECV-2027-020016,38508.01,2026-07-13,pending
98765432000198,RECV-2027-020017,29912.39,2028-01-30,cancelled
11223344000177,RECV-2027-020018,31839.26,2027-10-22,pending
55667788000133,RECV-2027-020019,8509.87,2026-12-16,advanced
99887766000111,RECV-2027-020020,16856.25,2027-01-01,cancelled
12345678000195,RECV-2027-020021,20466.59,2027-04-02,pending
98765432000198,RECV-2027-020022,40570.93,2027-01-06,eligible
11223344000177,RECV-2027-020023,21309.70,2026-07-18,cancelled
55667788000133,RECV-2027-020024,22876.39,2027-12-12,cancelled
99887766000111,RECV-2027-020025,6254.07,2027-01-28,advanced
12345678000195,RECV-2027-020026,8882.46,2026-10-28,cancelled
98765432000198,RECV-2027-020027,39153.11,2027-08-29,cancelled
11223344000177,RECV-2027-020028,18714.50,2026-10-20,eligible
55667788000133,RECV-2027-020029,49623.41,2027-12-23,cancelled
99887766000111,RECV-2027-020030,21481.81,2027-02-20,cancelled
12345678000195,RECV-2027-020031,1601.75,2027-06-23,advanced
98765432000198,RECV-2027-020032,48232.40,2027-01-07,pending
11223344000177,RECV-2027-020033,17812.79,2028-03-13,eligible
55667788000133,RECV-2027-020034,46724.53,2027-05-06,pending
99887766000111,RECV-2027-020035,26215.47,2027-08-21,advanced
12345678000195,RECV-2027-020036,27762.77,2026-11-13,pending
98765432000198,RECV-2027-020037,44743.69,2028-03-23,advanced
11223344000177,RECV-2027-020038,7074.20,2027-08-14,cancelled
55667788000133,RECV-2027-020039,25851.37,32/13/2025,cancelled
99887766000111,RECV-2027-020040,38715.63,2027-07-28,cancelled
12345678000195,RECV-2027-020041,6422.37,2026-12-14,eligible
98765432000198,RECV-2027-020042,28911.33,2028-01-13,cancelled
11223344000177,RECV-2027-020043,26123.93,2027-01-16,eligible
55667788000133,RECV-2027-020044,48644.84,2026-08-18,advanced
99887766000111,RECV-2027-020045,47240.95,2027-05-29,cancelled
12345678000195,RECV-2027-020046,30913.99,2028-01-27,pending
98765432000198,RECV-2027-020047,6644.06,2027-01-09,advanced
11223344000177,RECV-2027-020048,36306.59,2026-09-29,pending
55667788000133,RECV-2027-020049,43090.21,2027-08-08,advanced
99887766000111,RECV-2027-020050,34386.98,2026-10-22,advanced
12345678000195,RECV-2027-020051,2661.54,2027-07-05,pending
98765432000198,RECV-2027-020052,8928.16,2027-11-14,pending
11223344000177,RECV-2027-020053,27370.47,2027-04-30,cancelled
55667788000133,RECV-2027-020054,38439.86,2028-03-03,pending
99887766000111,RECV-2027-020055,19644.61,2027-12-17,advanced
12345678000195,RECV-2027-020056,22778.31,2026-10-03,cancelled
98765432000198,RECV-2027-020057,10016.25,2028-02-21,cancelled
11223344000177,RECV-2027-020058,39417.44,2026-05-28,cancelled
55667788000133,RECV-2027-020059,16058.72,2026-08-22,cancelled
99887766000111,RECV-2027-020060,,2027-03-01,cancelled
12345678000195,RECV-2027-020061,31764.55,2028-02-05,advanced
98765432000198,RECV-2027-020062,12561.65,2027-11-13,advanced
11223344000177,RECV-2027-020063,9638.02,2026-05-29,pending
55667788000133,RECV-2027-020064,49937.25,2028-01-18,advanced
99887766000111,RECV-2027-020065,39111.61,2027-02-28,cancelled
12345678000195,RECV-2027-020066,36971.38,2027-02-11,cancelled
98765432000198,RECV-2027-020067,47382.89,32/13/2025,pending
11223344000177,RECV-2027-020068,1539.99,2026-09-26,advanced
55667788000133,RECV-2027-020069,30813.91,2027-08-13,eligible
99887766000111,RECV-2027-020070,17054.41,2026-09-06,advanced
12345678000195,RECV-2027-020071,27976.19,2027-02-08,eligible
98765432000198,RECV-2027-020072,12620.11,2026-11-01,advanced
11223344000177,RECV-2027-020073,23124.11,2028-03-11,cancelled
55667788000133,RECV-2027-020074,13641.26,2026-10-24,pending
99887766000111,RECV-2027-020075,20552.11,2028-01-04,pending
12345678000195,RECV-2027-020076,,2026-07-05,pending
98765432000198,RECV-2027-020077,38163.65,32/13/2025,cancelled
11223344000177,RECV-2027-020078,27204.41,2027-04-29,eligible
55667788000133,RECV-2027-020079,25046.16,2027-08-04,cancelled
99887766000111,RECV-2027-020080,40866.97,2028-02-17,pending
12345678000195,RECV-2027-020081,10801.57,32/13/2025,advanced
98765432000198,RECV-2027-020082,26385.64,2026-09-18,advanced
11223344000177,RECV-2027-020083,44204.37,2027-11-22,advanced
55667788000133,RECV-2027-020084,10957.27,2027-01-26,cancelled
99887766000111,RECV-2027-020085,23896.17,2026-08-24,pending
12345678000195,RECV-2027-020086,16127.95,2027-06-21,eligible
98765432000198,RECV-2027-020087,8254.03,2027-04-15,advanced
11223344000177,RECV-2027-020088,15138.38,2026-04-27,advanced
55667788000133,RECV-2027-020089,43289.88,2027-03-27,cancelled
99887766000111,RECV-2027-020090,19628.29,2027-06-21,cancelled
12345678000195,RECV-2027-020091,46324.28,2027-01-15,eligible
98765432000198,RECV-2027-020092,27985.17,2026-07-30,eligible
11223344000177,RECV-2027-020093,38688.19,2026-09-15,eligible
55667788000133,RECV-2027-020094,12114.02,2026-12-29,eligible
99887766000111,RECV-2027-020095,20486.34,2027-09-16,cancelled
12345678000195,RECV-2027-020096,31207.48,2027-04-07,pending
98765432000198,RECV-2027-020097,22682.65,2027-10-04,cancelled
11223344000177,RECV-2027-020098,18143.24,2027-05-23,advanced
55667788000133,RECV-2027-020099,27916.56,2028-01-03,eligible
99887766000111,RECV-2027-020100,22352.64,2026-05-21,advanced
12345678000195,RECV-2027-020101,32382.89,2026-10-20,eligible
98765432000198,RECV-2027-020102,32731.93,2026-11-25,pending
11223344000177,RECV-2027-020103,11659.21,2028-03-03,cancelled
55667788000133,RECV-2027-020104,,2027-03-30,advanced
99887766000111,RECV-2027-020105,27509.76,2026-12-09,pending
12345678000195,RECV-2027-020106,3326.04,2026-11-13,advanced
98765432000198,RECV-2027-020107,16897.57,2027-07-02,pending
11223344000177,RECV-2027-020108,32251.68,2026-09-19,pending
55667788000133,RECV-2027-020109,25828.89,2026-06-22,advanced
99887766000111,RECV-2027-020110,37639.05,2026-09-15,pending
12345678000195,RECV-2027-020111,24571.09,2027-09-28,eligible
98765432000198,RECV-2027-020112,32668.32,2026-12-05,cancelled
11223344000177,RECV-2027-020113,12131.46,2026-07-02,eligible
55667788000133,RECV-2027-020114,41841.49,2027-10-25,eligible
99887766000111,RECV-2027-020115,32236.51,2027-02-18,cancelled
12345678000195,RECV-2027-020116,11354.75,2026-07-25,cancelled
98765432000198,RECV-2027-020117,822.56,2026-06-18,cancelled
11223344000177,RECV-2027-020118,6021.92,2027-01-15,cancelled
55667788000133,RECV-2027-020119,32838.68,2026-12-02,eligible
99887766000111,RECV-2027-020120,286.28,2027-01-31,pending
12345678000195,RECV-2027-020121,48987.51,2027-02-13,eligible
98765432000198,RECV-2027-020122,32932.97,2026-07-04,advanced
11223344000177,RECV-2027-020123,39676.37,2028-01-05,pending
55667788000133,RECV-2027-020124,23339.16,2026-11-19,cancelled
99887766000111,RECV-2027-020125,36472.47,2027-12-31,advanced
12345678000195,RECV-2027-020126,29453.09,2026-06-30,cancelled
98765432000198,RECV-2027-020127,17339.64,2027-09-14,pending
11223344000177,RECV-2027-020128,,2027-12-13,cancelled
55667788000133,RECV-2027-020129,24873.47,32/13/2025,cancelled
99887766000111,RECV-2027-020130,44882.31,2026-08-09,cancelled
12345678000195,RECV-2027-020131,23094.80,32/13/2025,pending
98765432000198,RECV-2027-020132,20828.24,2027-08-24,pending
11223344000177,RECV-2027-020133,6990.52,2027-01-03,eligible
55667788000133,RECV-2027-020134,11152.37,2027-08-06,advanced
99887766000111,RECV-2027-020135,41582.21,32/13/2025,eligible
12345678000195,RECV-2027-020136,36857.02,2026-10-22,advanced
98765432000198,RECV-2027-020137,37736.52,2027-08-28,advanced
11223344000177,RECV-2027-020138,30176.93,2026-12-24,pending
55667788000133,RECV-2027-020139,25118.71,2027-01-09,cancelled
99887766000111,RECV-2027-020140,22556.79,2026-06-22,pending
12345678000195,RECV-2027-020141,45818.29,2027-07-28,advanced
98765432000198,RECV-2027-020142,18558.32,2026-09-11,advanced
11223344000177,RECV-2027-020143,18330.68,2026-10-01,cancelled
55667788000133,RECV-2027-020144,19448.35,2027-09-07,eligible
99887766000111,RECV-2027-020145,37612.54,2027-11-27,pending
12345678000195,RECV-2027-020146,18266.45,2027-01-03,cancelled
98765432000198,RECV-2027-020147,25166.07,32/13/2025,cancelled
11223344000177,RECV-2027-020148,32251.36,2027-10-31,advanced
55667788000133,RECV-2027-020149,30571.30,2026-05-20,cancelled
99887766000111,RECV-2027-020150,28374.14,2027-04-05,pending
12345678000195,RECV-2027-020151,49777.22,2027-07-15,eligible
98765432000198,RECV-2027-020152,45774.28,2027-01-06,advanced
11223344000177,RECV-2027-020153,13564.81,2027-02-19,cancelled
55667788000133,RECV-2027-020154,18248.14,2026-12-12,pending
99887766000111,RECV-2027-020155,27207.71,2027-10-19,advanced
12345678000195,RECV-2027-020156,13476.55,2026-05-30,eligible
98765432000198,RECV-2027-020157,8504.63,2026-12-08,cancelled
11223344000177,RECV-2027-020158,44174.32,2027-11-05,advanced
55667788000133,RECV-2027-020159,28929.98,2026-10-06,pending
99887766000111,RECV-2027-020160,46748.12,2027-05-30,advanced
12345678000195,RECV-2027-020161,25721.47,2027-06-26,pending
98765432000198,RECV-2027-020162,29248.75,2026-11-29,eligible
11223344000177,RECV-2027-020163,22366.30,2027-11-01,pending
55667788000133,RECV-2027-020164,6378.06,2026-09-04,advanced
99887766000111,RECV-2027-020165,48069.52,2027-07-04,eligible
12345678000195,RECV-2027-020166,42263.17,2027-01-20,eligible
98765432000198,RECV-2027-020167,24222.73,2028-03-17,advanced
11223344000177,RECV-2027-020168,27660.31,2027-10-25,cancelled
55667788000133,RECV-2027-020169,44981.42,2027-07-16,advanced
99887766000111,RECV-2027-020170,48837.09,2026-07-04,cancelled
12345678000195,RECV-2027-020171,49218.63,2026-05-13,advanced
98765432000198,RECV-2027-020172,15089.90,2027-08-18,eligible
11223344000177,RECV-2027-020173,3685.39,2028-02-12,pending
55667788000133,RECV-2027-020174,40255.63,2027-07-07,eligible
99887766000111,RECV-2027-020175,35210.66,2026-05-19,advanced
12345678000195,RECV-2027-020176,22147.41,2026-08-16,cancelled
98765432000198,RECV-2027-020177,31781.01,2027-07-02,eligible
11223344000177,RECV-2027-020178,4424.61,2027-10-07,cancelled
55667788000133,RECV-2027-020179,29469.94,2027-05-28,pending
99887766000111,RECV-2027-020180,7058.49,2028-02-06,eligible
12345678000195,RECV-2027-020181,11057.04,2027-01-12,eligible
98765432000198,RECV-2027-020182,28645.75,2028-01-03,cancelled
11223344000177,RECV-2027-020183,34533.94,2027-09-18,advanced
55667788000133,RECV-2027-020184,28694.83,2027-12-22,advanced
99887766000111,RECV-2027-020185,35536.62,2026-12-19,eligible
12345678000195,RECV-2027-020186,40466.69,2028-02-14,pending
98765432000198,RECV-2027-020187,19796.31,2027-07-06,cancelled
11223344000177,RECV-2027-020188,30787.62,2027-08-14,pending
55667788000133,RECV-2027-020189,13146.04,2027-03-18,pending
99887766000111,RECV-2027-020190,29844.63,2026-10-26,pending
12345678000195,RECV-2027-020191,24597.69,2027-04-18,eligible
98765432000198,RECV-2027-020192,26791.84,2027-06-14,pending
11223344000177,RECV-2027-020193,30766.69,2026-10-04,advanced
55667788000133,RECV-2027-020194,32388.63,2027-11-20,pending
99887766000111,RECV-2027-020195,35013.71,2027-05-10,advanced
12345678000195,RECV-2027-020196,21395.24,2027-07-16,eligible
98765432000198,RECV-2027-020197,47003.21,2026-11-22,advanced
11223344000177,RECV-2027-020198,34446.91,2027-03-06,eligible
55667788000133,RECV-2027-020199,12263.82,2027-12-07,pending
99887766000111,RECV-2027-020200,26087.08,2026-05-17,cancelled
12345678000195,RECV-2027-020201,34772.14,2027-01-23,advanced
98765432000198,RECV-2027-020202,8079.62,2027-01-01,advanced
11223344000177,RECV-2027-020203,963.28,2027-07-10,cancelled
55667788000133,RECV-2027-020204,15250.60,2028-02-18,eligible
99887766000111,RECV-2027-020205,17919.53,2027-04-15,cancelled
12345678000195,RECV-2027-020206,40062.28,2027-03-29,eligible
98765432000198,RECV-2027-020207,48352.93,2027-05-03,advanced
11223344000177,RECV-2027-020208,17392.56,2027-06-19,pending
55667788000133,RECV-2027-020209,46569.37,2027-08-29,pending
99887766000111,RECV-2027-020210,38896.80,2028-01-05,eligible
12345678000195,RECV-2027-020211,9551.21,2026-12-14,pending
98765432000198,RECV-2027-020212,4870.16,2026-07-09,pending
11223344000177,RECV-2027-020213,35557.27,2026-10-13,cancelled
55667788000133,RECV-2027-020214,5228.05,2027-07-10,advanced
99887766000111,RECV-2027-020215,21001.45,2026-12-11,eligible
12345678000195,RECV-2027-020216,1526.92,2027-12-31,eligible
98765432000198,RECV-2027-020217,28724.25,2027-09-02,cancelled
11223344000177,RECV-2027-020218,27766.30,2028-02-14,eligible
55667788000133,RECV-2027-020219,28515.40,2027-11-12,cancelled
99887766000111,RECV-2027-020220,49052.96,2026-12-02,advanced
12345678000195,RECV-2027-020221,43433.75,2027-12-16,cancelled
98765432000198,RECV-2027-020222,21373.66,2026-09-07,advanced
11223344000177,RECV-2027-020223,5926.77,2027-04-03,cancelled
55667788000133,RECV-2027-020224,,2027-04-18,advanced
99887766000111,RECV-2027-020225,15281.43,2026-05-19,cancelled
12345678000195,RECV-2027-020226,4460.84,2027-02-19,advanced
98765432000198,RECV-2027-020227,2725.21,2027-10-28,pending
11223344000177,RECV-2027-020228,580.83,2026-08-03,pending
55667788000133,RECV-2027-020229,18843.37,2026-05-17,eligible
99887766000111,RECV-2027-020230,,2026-05-30,eligible
12345678000195,RECV-2027-020231,19861.17,2027-02-06,pending
98765432000198,RECV-2027-020232,32225.28,2027-03-18,cancelled
11223344000177,RECV-2027-020233,49913.11,2026-05-29,advanced
55667788000133,RECV-2027-020234,26082.22,2027-08-30,pending
99887766000111,RECV-2027-020235,8316.49,2026-05-28,pending
12345678000195,RECV-2027-020236,5330.67,2027-09-20,pending
98765432000198,RECV-2027-020237,18534.31,2027-09-26,cancelled
11223344000177,RECV-2027-020238,31121.34,2027-08-06,advanced
55667788000133,RECV-2027-020239,25552.00,2026-11-03,eligible
99887766000111,RECV-2027-020240,2301.21,2027-09-02,advanced
12345678000195,RECV-2027-020241,30748.41,2028-01-14,pending
98765432000198,RECV-2027-020242,21003.92,2027-11-10,eligible
11223344000177,RECV-2027-020243,38519.04,2027-10-30,eligible
55667788000133,RECV-2027-020244,9123.19,2026-09-12,advanced
99887766000111,RECV-2027-020245,19873.93,2026-06-27,pending
12345678000195,RECV-2027-020246,1610.32,2027-07-06,cancelled
98765432000198,RECV-2027-020247,14955.84,2027-09-24,advanced
11223344000177,RECV-2027-020248,23920.05,2027-02-03,pending
55667788000133,RECV-2027-020249,26470.93,2026-06-18,advanced
99887766000111,RECV-2027-020250,48771.93,2026-07-25,eligible
12345678000195,RECV-2027-020251,16456.28,2027-01-07,advanced
98765432000198,RECV-2027-020252,22191.71,2027-10-24,eligible
